id,tokens,ner_tags
0,"['@paulwalk', 'It', ""'s"", 'the', 'view', 'from', 'where', 'I', ""'m"", 'living', 'for', 'two', 'weeks', '.', 'Empire', 'State', 'Building', '=', 'ESB', '.', 'Pretty', 'bad', 'storm', 'here', 'last', 'evening', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"['From', 'Green', 'Newsfeed', ':', 'AHFA', 'extends', 'deadline', 'for', 'Sage', 'Award', 'to', 'Nov', '.', '5', 'http://tinyurl.com/24agj38']","[0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"['Pxleyes', 'Top', '50', 'Photography', 'Contest', 'Pictures', 'of', 'August', '2010', '...', 'http://bit.ly/bgCyZ0', '#photography']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"['today', 'is', 'my', 'last', 'day', 'at', 'the', 'office', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"['4Dbling', ""'s"", 'place', 'til', 'monday', ',', 'party', 'party', 'party', '.', '&lt;', '3']","[9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"['watching', 'the', 'VMA', 'pre-show', 'again', 'lol', 'it', 'was', ""n't"", 'even', 'a', 'good', 'show', 'the', 'first', 'time', '...', 'so', 'bored', '!']","[0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,"['27', 'followers', '!', '30', 'followers', 'is', 'my', 'goal', 'for', 'today', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,"['This', 'is', 'the', '2nd', 'hospital', 'ive', 'been', 'in', 'today', ',', 'but', 'ive', 'just', 'seen', 'a', 'doctor', 'who', 'was', 'an', 'older', 'version', 'of', 'justin', "":'"", ')']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,"['Friday', 'Night', 'Eats', 'http://twitpic.com/2pdvtr']","[0, 0, 0, 0]"
9,"['Gotta', 'dress', 'up', 'for', 'london', 'fashion', 'week', 'and', 'party', 'in', 'style', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,"['@Suzie55', 'whispering', 'cause', 'I', 'may', 'have', 'had', '1', 'too', 'many', 'vodka', ""'s"", 'last', 'night', 'and', 'am', 'a', 'lil', 'fragile', ',', 'hold', 'me', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,"['#NFL', 'Week', '2', 'picks', 'blog', 'is', 'up', 'on', '@The_Score', 'website', '...', 'http://blogs.thescore.com/nfl/2010/09/17/pizzolaw2/']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,"['I', 'like', '@SouljaBoy', 'songs', 'after', 'a', 'few', 'drinks']","[0, 0, 0, 0, 0, 0, 0, 0]"
13,"['...', 'asked', 'me', 'a', 'question', 'for', 'once', ',', 'but', 'no', '!', 'You', 'ask', 'me', 'about', 'fucking', 'donuts', 'you', 'donut', '...', 'have', 'a', 'nice', 'day', ':P']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,"['every', 'year', 'your', '""', 'bestfriend', '""', 'get', 'yo', 'ass', 'in', 'trouble', 'smdh', '#doinme']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,"['RT', '@midgetmegs', ':', 'hate', 'people', 'who', 'write', 'drunk', ""status'."", 'must', 'be', 'having', 'a', 'great', 'time', 'if', 'your', 'sat', 'writing', 'it', 'on', 'facebook', '.....']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
16,"['@MrzEndy', 'tru', 'tru', 'I', ""'m"", 'leavin', 'again', 'on', 'Tuesday', 'yo']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,"['The', 'guys', 'are', 'cooking', 'about', 'a', 'dozen', 'pizzas', 'at', 'our', 'house', 'for', 'the', 'tailgate', 'tonight', '.', 'Nonetheless', 'it', 'smells', 'fresh', 'in', 'this', 'place', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,"['I', 'heart', 'Park(ing', ')', 'Day', '!', 'Photo', 'of', 'meter', 'shark', ':', 'http://bit.ly/aQun1b']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,"['hows', 'everyones', 'day', 'goin', '?']","[0, 0, 0, 0, 0]"
20,"['@Phoebe1_', 'and', 'i', 'also', 'loved', 'the', 'last', 'years', 'eurovision', 'entry', '!!', 'hoppaa', '!', 'they', 'were', 'cool', 'too', '!!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,"['MetroPCS', 'has', 'the', 'worst', 'customer', 'service', 'I', ""'ve"", 'experienced', 'in', 'months', '(', 'trying', 'to', 'help', 'someone', 'order', 'a', 'phone', ')', '#metropcs', '#fail']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,"['@xSophieBx', 'He', 'has', 'a', 'habit', 'of', 'tweeting', 'at', 'the', 'same', 'time', 'as', 'you', 'lol']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,"['A', 'TRUE', 'friend', 'walks', 'in', 'when', 'everybody', 'else', 'walks', 'out', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,"['Yay', '.', '@penguin', 'is', 'coming', 'to', 'see', 'me', 'next', 'week', '...', 'plotting', 'my', 'cooking', 'now', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,"['@_mistercory', '*Smiles', 'up', 'at', 'him*', 'Can', 'we', 'just', '...', 'sit', 'together', 'for', 'a', 'while', 'before', 'round', 'two', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,"['the', 'tears', 'may', 'have', 'been', 'and', 'gone', ',', 'but', 'the', 'feeling', 'still', 'stay', 'the', 'same', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,"['@BieberEgypt', 'I', ""'ve"", 'got', 'some', 'bad', 'news', ',', 'Yeah', 'I', 'cant', 'come', 'to', 'the', 'meeting', 'tomorrow', '.', ':', 'S']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,"['@abzmedic', 'I', ""'m"", 'missing', 'autumn', 'because', 'of', 'work', '.', ':(', 'I', 'must', 'get', 'into', 'the', 'forests', 'tomorrow', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,"['Fellas', 'Do', ""n't"", 'just', 'lick', 'the', 'PussyY', ',', 'LOVE', 'IT', '!', 'enjoy', 'it', '.', 'like', 'u', 'just', 'got', 'married', '&lt;', 'the', 'preacher', 'said', 'u', 'may', 'kiss', 'the', 'bride']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,"['RT', '@Sexstrology', ':', 'Pisces', 'tend', 'to', 'escape', 'into', 'fantasy', 'and', 'day', 'dreams', '.', 'There', 'they', 'are', 'free', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,"['Cant', 'wait', 'for', 'the', 'ravens', 'game', 'tomorrow', '....', 'go', 'ray', 'rice', '!!!!!!!']","[0, 0, 0, 0, 5, 0, 0, 0, 0, 9, 10, 0]"
32,"['I', 'just', 'took', '""', 'When', 'your', 'mom', 'makes', 'you', 'go', 'live', 'with', 'your', 'dad', 'Scooter', 'Braun', ',', 'your', 'life', '...""', 'and', 'got', ':', 'Part', '7', '!', 'Try', 'it', ':', 'http://tinyurl.com/27r2pdz']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,"['I', 'miss', 'being', 'able', 'to', 'run', 'and', 'dance', 'around', 'all', 'day', 'instead', 'of', 'having', 'to', 'catch', 'my', 'breath', 'every', 'five', 'minutes', 'of', 'my', 'life', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,"['@SnoopDogg', 'hey', 'snoop', 'my', 'wife', 'Cath', 'is', '30', 'today', ',', 'any', 'chance', 'of', 'a', 'shout', 'out', 'to', 'her', ',']","[0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,"['Today', 'I', 'got', 'a', 'promotion', 'at', 'work', ',', 'and', 'tomorrow', 'I', ""'m"", 'going', 'home', 'to', 'Wisconsin', 'for', 'a', 'few', 'days', '.', 'So', 'content', 'with', 'life', 'right', 'now', '.', ':)']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,"['TWEET', '!', '@stjosephs', 'Empls', 'of', 'the', 'Month', ':', 'Deborah', 'L', '#Speech', '#Pathologist-Childrens', 'Rehab', 'and', 'Patricia', 'M', '#Referral/#Auth', '#Spec-#Womens', '#Care', '!']","[0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 0, 0, 0, 0, 9, 10, 0, 0, 0, 0]"
37,"['RT', '@LilTwist', ':', 'RT', 'this', 'if', 'you', 'want', 'me', 'to', 'go', 'back', 'live', 'on', 'Ustream', 'later', 'tonight']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
38,"['Really', 'hope', 'I', 'can', 'get', 'to', '@glasgowfilm', 'for', 'Winter', ""'s"", 'Bone', '-', 'need', 'to', 'get', 'on', 'with', 'job', 'applications', 'tonight', 'then', '!', 'Trailer', ':', 'http://bit.ly/bhUlum']","[0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,"['RT', '@WeSpazForJB', ':', 'http://twitpic.com/2nn4ee', '&lt;', '----', 'still', 'the', 'funniest', 'photo', '.', 'of', 'all', 'time', '.', 'ALL', 'TIME', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,"['I', 'have', 'eaten', 'a', 'large', 'quantity', 'of', 'oranges', 'this', 'week', '...']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,"['Bonfire', 'tonite', '.', 'All', 'are', 'welcome', ',', 'joe', 'included']","[0, 0, 0, 0, 0, 0, 0, 9, 0]"
42,"['@KFSH', 'totally', '!', 'I', 'can', 'go', 'a', 'week', 'w/o', 'tv', ',', 'phones', 'or', 'a', 'computer', '.', 'I', 'get', 'some', 'time', 'to', 'myself', 'and', 'God', '.', 'Brings', 'peace', 'into', 'my', 'life', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0]"
